#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
620000,1239.9999999845018,-713647.5886681993,403.2318155183776,0.9752098975446526,52.9
625000,1249.9999999842653,-653983.1980431993,335.3535795485432,0.9752098975446526,52.3
630000,1259.9999999840288,-57133.541793199256,516.3781534786112,0.9752098975446526,52.2
635000,1269.9999999837923,-708418.6003869493,409.13917092811784,0.9752098975446526,52.4
640000,1279.9999999835559,-672740.7878869493,338.8531330268943,0.9752098975446526,52.5
645000,1289.9999999833194,-319838.36210569926,506.35281889717265,0.9752098975446526,52.6
650000,1299.999999983083,-780106.2566369493,392.9718582077764,0.9752098975446526,52.7
655000,1309.9999999828465,-1036649.2956994493,317.856402093456,0.9752098975446526,52.7
660000,1319.99999998261,-980713.6199181993,310.1851360451929,0.9752098975446526,52.2
665000,1329.9999999823735,-557745.3113244493,457.0637085749436,0.9752098975446526,51.4
670000,1339.999999982137,-645117.2331994493,322.90608791011755,0.9752098975446526,51.4
675000,1349.9999999819006,-403206.22929319926,467.8621551603233,0.9752098975446526,51.3
680000,1359.9999999816641,-626804.0808556993,417.934733362883,0.9752098975446526,51.2
685000,1369.9999999814277,-704099.5417931993,363.27262734901336,0.9752098975446526,51.3
690000,1379.9999999811912,-281865.21757444926,434.23212711860714,0.9752098975446526,51.4
695000,1389.9999999809547,-460114.78007444926,465.7686665697199,0.9752098975446526,51.5
700000,1399.9999999807183,-736133.6316369493,362.2899403436224,0.9752098975446526,51.6
705000,1409.9999999804818,-277935.32694944926,433.21876340645923,0.9752098975446526,51.6
710000,1419.9999999802453,-226997.59257444926,528.057817962417,0.9752098975446526,51.3
715000,1429.9999999800089,-981598.6746056993,326.94801441298097,0.9752098975446526,51.2
720000,1439.9999999797724,-950394.4949181993,315.08605949863903,0.9752098975446526,51.1
725000,1449.999999979536,-165625.61210569926,567.4138696304233,0.9752098975446526,51.1
730000,1459.9999999792994,-971845.9206994493,330.00005176696,0.9752098975446526,51
735000,1469.999999979063,-921876.7722619493,319.39893899716077,0.9752098975446526,50.9
740000,1479.9999999788265,708052.8878943007,556.8737169830257,0.9752098975446526,50.8
745000,1489.99999997859,-870871.5652306993,358.2404184061533,0.9752098975446526,50.7
750000,1499.9999999783536,-933425.4792931993,321.5064385836387,0.9752098975446526,50.7
755000,1509.999999978117,-489067.99101194926,514.8985923142585,0.9752098975446526,50.3
760000,1519.9999999778806,-917777.5925744493,347.14793755296404,0.9752098975446526,50.3
765000,1529.9999999776442,-154450.64335569926,370.8638340752354,0.9752098975446526,50.4
770000,1539.9999999774077,-310051.19023069926,506.9453119578047,0.9752098975446526,50.5
775000,1549.9999999771712,-668152.8933556993,377.8330017460162,0.9752098975446526,50.5
780000,1559.9999999769348,-731861.5652306993,427.5823609923771,0.9752098975446526,50.6
785000,1569.9999999766983,-668747.6472619493,417.50024500660476,0.9752098975446526,50.6
790000,1579.9999999764618,-782090.4910119493,362.36382991133974,0.9752098975446526,50.5
795000,1589.9999999762254,-575406.6941369493,448.7891093797666,0.9752098975446526,50.3
800000,1599.9999999759889,-589028.5535119493,429.318741253041,0.9752098975446526,50.2
805000,1609.9999999757524,-743790.3894494493,363.1256347958032,0.9752098975446526,50.1
810000,1619.999999975516,-985930.0144494493,310.94723589799054,0.9752098975446526,50.2
815000,1629.9999999752795,310617.28633180074,650.7968948612889,0.9752098975446526,50.2
820000,1639.999999975043,-914832.9089806993,347.36913922292035,0.9752098975446526,50.2
825000,1649.9999999748065,-941429.9636681993,317.2969700669491,0.9752098975446526,50.2
830000,1659.99999997457,-155726.60038694926,546.8083650309137,0.9752098975446526,50.2
835000,1669.9999999743336,-892108.1824181993,357.5031942162066,0.9752098975446526,50.1
840000,1679.9999999740971,-759116.7605431993,339.0134483165326,0.9752098975446526,50
845000,1689.9999999738607,-174801.77616819926,509.5316434734691,0.9752098975446526,50
850000,1699.9999999736242,-711430.2292931993,401.92803090051405,0.9752098975446526,50
855000,1709.9999999733877,-873365.1199181993,344.73352341474975,0.9752098975446526,50
